date,fwd_premium_21d,fwd_premium_63d,fwd_premium_126d,fwd_premium_21_to_63d,fwd_premium_63_to_126d,fwd_premium_ewma_21d,fwd_premium_ewma_63d,fwd_premium_ewma_126d
12/16/2014,0.182874,0.134811,0.11273,0.107771,0.087386,0.084449,0.062781,0.057117
12/17/2014,0.126604,0.083874,0.069012,0.059856,0.052424,0.088281,0.064698,0.058198
12/18/2014,0.098381,0.062165,0.049704,0.041997,0.035982,0.089199,0.064468,0.057426
12/19/2014,0.053802,0.027459,0.021938,0.013046,0.015981,0.085981,0.061104,0.0542
12/22/2014,0.048155,0.029006,0.024814,0.018792,0.020329,0.082543,0.058186,0.051528
12/23/2014,0.024116,0.015753,0.013937,0.011445,0.012023,0.077231,0.054328,0.048111
12/24/2014,0.034437,0.023675,0.018365,0.018091,0.012675,0.073341,0.051541,0.045407
12/26/2014,0.027695,0.014827,0.011244,0.008088,0.007428,0.069191,0.048204,0.042301
12/29/2014,0.030983,0.016258,0.014057,0.008496,0.011739,0.065718,0.0453,0.039733
12/30/2014,0.04923,0.036742,0.041315,0.030219,0.046764,0.064219,0.044522,0.039877
12/31/2014,0.02865,0.034499,0.021728,0.037491,0.008138,0.060985,0.04361,0.038227
1/2/2015,0.047854,0.031765,0.024958,0.023275,0.017661,0.059792,0.042534,0.037021
1/5/2015,0.101694,0.070273,0.053489,0.053079,0.034568,0.063601,0.045055,0.038518
1/6/2015,0.103636,0.07704,0.060371,0.062719,0.04167,0.06724,0.047963,0.040505
1/7/2015,0.094409,0.064534,0.05424,0.048229,0.043023,0.06971,0.049469,0.041753
1/8/2015,0.069345,0.054133,0.039867,0.045799,0.024655,0.069677,0.049893,0.041582
1/9/2015,0.081659,0.067482,0.052415,0.059831,0.036347,0.070766,0.051492,0.042567
1/12/2015,0.110686,0.08992,0.067484,0.078516,0.042894,0.074396,0.054986,0.044832
1/13/2015,0.135911,0.094614,0.072961,0.07048,0.049352,0.079988,0.058588,0.047389
1/14/2015,0.136469,0.095368,0.07836,0.072436,0.059664,0.085123,0.061932,0.050205
1/15/2015,0.142705,0.101723,0.083867,0.077839,0.064757,0.090357,0.065549,0.053265
1/16/2015,0.11507,0.082003,0.07653,0.063841,0.070656,0.092604,0.067045,0.05538
1/20/2015,0.094706,0.075943,0.075369,0.066021,0.075078,0.092795,0.067854,0.057197
1/21/2015,0.067793,0.052233,0.060583,0.044043,0.069863,0.090522,0.066434,0.057505
1/22/2015,0.052479,0.043626,0.053638,0.039062,0.064585,0.087064,0.06436,0.057153
1/23/2015,0.060277,0.055207,0.060329,0.052629,0.066197,0.084629,0.063528,0.057442
1/26/2015,0.049775,0.038164,0.048448,0.032117,0.059695,0.08146,0.061222,0.056624
1/27/2015,0.051645,0.045194,0.053156,0.041897,0.061993,0.07875,0.059765,0.056309
1/28/2015,0.115295,0.080585,0.079012,0.061348,0.077605,0.082072,0.061658,0.058373
1/29/2015,0.11501,0.07891,0.080058,0.058802,0.081676,0.085066,0.063226,0.060344
1/30/2015,0.094095,0.08501,0.08261,0.080347,0.080271,0.085887,0.065207,0.062369
2/2/2015,0.06567,0.06436,0.065306,0.063702,0.066681,0.084049,0.06513,0.062636
2/3/2015,0.054672,0.039066,0.049385,0.030824,0.060732,0.081379,0.06276,0.061431
2/4/2015,0.061963,0.047603,0.0568,0.040061,0.067202,0.079614,0.061382,0.06101
2/5/2015,0.055495,0.04274,0.050886,0.036076,0.059959,0.077421,0.059688,0.06009
2/6/2015,0.056104,0.046977,0.057055,0.04227,0.068364,0.075483,0.058532,0.059814
2/9/2015,0.065192,0.048625,0.058311,0.039859,0.069194,0.074547,0.057631,0.059677
2/10/2015,0.068607,0.051853,0.05694,0.04299,0.062967,0.074007,0.057106,0.059428
2/11/2015,0.058897,0.046473,0.05773,0.039991,0.070245,0.072634,0.056139,0.059274
2/12/2015,0.043085,0.035792,0.044446,0.03205,0.054044,0.069947,0.05429,0.057926
2/13/2015,0.039709,0.026821,0.041514,0.020055,0.05749,0.067199,0.051793,0.056434
2/17/2015,0.057295,0.03607,0.044181,0.024578,0.052793,0.066298,0.050363,0.05532
