Date,Ticker,Z_Score,Forecast,Actual,Win
2024-02-12,MS,0.5248165304812497,0.24901661575112563,0.2788313606157372,1
2024-02-13,MS,0.4397009308127715,0.2695932244080251,0.24836637480282056,1
2024-02-14,MS,1.2266850498140727,0.2836961092819709,0.25114438223684826,1
2024-02-15,MS,1.0103854094599918,0.26712296414196884,0.2441497195646373,1
2024-02-16,MS,1.2814632790171285,0.2895330483342776,0.2427115913612621,1
2024-02-20,MS,1.2452427493840303,0.28527800105632917,0.2599282051841112,1
2024-02-21,MS,1.04037492362555,0.26751026170789444,0.26791993782460544,1
2024-02-22,MS,1.1512520542295566,0.27253722553219684,0.2766100677941591,1
2024-02-23,MS,1.217943728497787,0.2770766650646975,0.2790943574039372,1
2024-02-26,MS,1.152157559785544,0.2739837221767205,0.2753101108068878,1
2024-02-27,MS,1.1496293622465665,0.2736189287132991,0.283930620207485,1
2024-02-28,MS,1.3067776923901702,0.2859447923810411,0.2839867308795251,1
2024-02-29,MS,1.375801642369722,0.28767735302858055,0.2861870621420611,1
2024-03-01,MS,1.2894489390837969,0.2814849627597577,0.28953276309187154,1
2024-03-04,MS,0.6710436665059931,0.2802424720876399,0.25636481106867953,1
2024-03-05,MS,0.8850991269920819,0.30054215751920343,0.2551232152354569,1
2024-03-06,MS,-0.09285451336778014,0.2571139937336891,0.20611949604595417,1
2024-03-07,MS,0.39457178233645734,0.2956950264593567,0.20656760060889964,0
2024-03-08,MS,0.22421245458334021,0.28478627346719537,0.2061559115962297,0
2024-03-11,MS,-0.08760398262160832,0.2600451136671673,0.23037271071933388,1
2024-03-12,MS,-0.5944908198617819,0.2204590717979544,0.30221977882905976,0
2024-03-13,MS,-0.5227899061560422,0.23787343262294455,0.28758384205678,0
2024-03-14,MS,0.14296132792996466,0.2595666671308859,0.2900247626571448,1
2024-03-15,MS,-0.10786049424740633,0.24269406155423415,0.3018216155060387,0
2024-03-18,MS,0.30408516358430066,0.26797324424846103,0.30315098607255764,1
2024-03-19,MS,0.17848426242081952,0.2566949247844913,0.3028097114215501,1
2024-03-20,MS,0.19198699840992817,0.2737080034376854,0.280658420603785,1
2024-03-21,MS,-0.5750673869475524,0.2266446814792383,0.2748893484205817,0
2024-03-22,MS,-0.5332624698315753,0.2383353444465294,0.2764797205370413,1
2024-03-25,MS,-0.5727977760916108,0.2379820015672921,0.27418798924621457,1
2024-03-26,MS,-0.5454481664092649,0.23616076343882678,0.2792165719752571,0
2024-03-27,MS,-0.6648615596273963,0.23542865896084722,0.2662302573176286,1
2024-03-28,MS,-0.6402627095527571,0.23727926723280968,0.264976977787806,1
2024-04-01,MS,-0.3734842899252629,0.25894120878525845,0.2682025289150847,1
2024-04-02,MS,0.4057948350891448,0.3191356858065035,0.26819811667391474,0
