[MONITOR] Logging to /mnt/c/Users/Caleb Solomon/Documents/GitHub/volarbmodel/model/pipeline/results/monitoring
[MONITOR] Interval: 60s | RAM warn: 85% | RAM crit: 90%
[MONITOR] Press Ctrl+C to stop

[2026-04-07 08:28:05 UTC] RAM 27.9% | CPU 82.3% | GPU 15.0% | Batch 1/27 (3 tickers)
[2026-04-07 08:29:05 UTC] RAM 28.0% | CPU 92.0% | GPU 3.0% | Batch 1/27 (3 tickers)
[2026-04-07 08:30:05 UTC] RAM 27.9% | CPU 75.9% | GPU 2.0% | Batch 1/27 (3 tickers)
[2026-04-07 08:31:05 UTC] RAM 28.0% | CPU 92.8% | GPU 36.0% | Batch 1/27 (3 tickers)
[2026-04-07 08:32:04 UTC] RAM 27.9% | CPU 88.1% | GPU 0.0% | Batch 1/27 (3 tickers)
[2026-04-07 08:33:04 UTC] RAM 28.0% | CPU 90.0% | GPU 13.0% | Batch 1/27 (3 tickers)
[2026-04-07 08:34:05 UTC] RAM 27.9% | CPU 71.2% | GPU 81.0% | Batch 1/27 (3 tickers)
[2026-04-07 08:35:04 UTC] RAM 27.9% | CPU 84.2% | GPU 1.0% | Batch 1/27 (3 tickers)
[2026-04-07 08:36:04 UTC] RAM 27.9% | CPU 93.7% | GPU 16.0% | Batch 1/27 (3 tickers)
[2026-04-07 08:37:03 UTC] RAM 27.9% | CPU 95.4% | GPU 6.0% | Batch 1/27 (3 tickers)
[2026-04-07 08:38:03 UTC] RAM 27.9% | CPU 88.5% | GPU 1.0% | Batch 1/27 (3 tickers)
[2026-04-07 08:39:04 UTC] RAM 27.9% | CPU 86.9% | GPU 12.0% | Batch 1/27 (3 tickers)
[2026-04-07 08:40:03 UTC] RAM 28.0% | CPU 92.9% | GPU 2.0% | Batch 1/27 (3 tickers)
[2026-04-07 08:41:03 UTC] RAM 28.1% | CPU 94.2% | GPU 0.0% | Batch 1/27 (3 tickers)
[2026-04-07 08:42:03 UTC] RAM 28.0% | CPU 70.2% | GPU 0.0% | Batch 1/27 (3 tickers)
[2026-04-07 08:43:02 UTC] RAM 28.1% | CPU 95.0% | GPU 2.0% | Batch 1/27 (3 tickers)
[2026-04-07 08:44:02 UTC] RAM 28.1% | CPU 85.7% | GPU 67.0% | Batch 1/27 (3 tickers)
[2026-04-07 08:45:02 UTC] RAM 28.1% | CPU 94.6% | GPU 25.0% | Batch 1/27 (3 tickers)
[2026-04-07 08:46:01 UTC] RAM 28.1% | CPU 95.3% | GPU 36.0% | Batch 1/27 (3 tickers)
[2026-04-07 08:47:01 UTC] RAM 28.1% | CPU 98.6% | GPU 1.0% | Batch 1/27 (3 tickers)
[2026-04-07 08:48:01 UTC] RAM 28.1% | CPU 90.9% | GPU 31.0% | Batch 1/27 (3 tickers)
[2026-04-07 08:49:01 UTC] RAM 28.1% | CPU 92.9% | GPU 33.0% | Batch 1/27 (3 tickers)
[2026-04-07 08:50:01 UTC] RAM 28.2% | CPU 91.9% | GPU 0.0% | Batch 1/27 (3 tickers)
[2026-04-07 08:51:00 UTC] RAM 28.3% | CPU 88.0% | GPU 0.0% | Batch 1/27 (3 tickers)
[2026-04-07 08:52:00 UTC] RAM 27.8% | CPU 85.8% | GPU 2.0% | Batch 1/27 (3 tickers)
[2026-04-07 08:53:00 UTC] RAM 26.8% | CPU 74.8% | GPU 1.0% | Batch 2/27 (6 tickers)
[2026-04-07 08:53:59 UTC] RAM 27.0% | CPU 85.6% | GPU 12.0% | Batch 2/27 (6 tickers)
[2026-04-07 08:54:59 UTC] RAM 27.2% | CPU 77.1% | GPU 28.0% | Batch 2/27 (6 tickers)
[2026-04-07 08:55:59 UTC] RAM 27.2% | CPU 79.2% | GPU 74.0% | Batch 2/27 (6 tickers)
[2026-04-07 08:56:58 UTC] RAM 27.4% | CPU 86.6% | GPU 1.0% | Batch 2/27 (6 tickers)
[2026-04-07 08:57:59 UTC] RAM 27.5% | CPU 90.8% | GPU 6.0% | Batch 2/27 (6 tickers)
[2026-04-07 08:58:58 UTC] RAM 27.4% | CPU 91.3% | GPU 9.0% | Batch 2/27 (6 tickers)
[2026-04-07 08:59:58 UTC] RAM 27.6% | CPU 88.1% | GPU 49.0% | Batch 2/27 (6 tickers)
[2026-04-07 09:00:58 UTC] RAM 27.6% | CPU 67.3% | GPU 0.0% | Batch 2/27 (6 tickers)
[2026-04-07 09:01:57 UTC] RAM 27.7% | CPU 93.5% | GPU 0.0% | Batch 2/27 (6 tickers)
[2026-04-07 09:02:57 UTC] RAM 27.7% | CPU 67.5% | GPU 0.0% | Batch 2/27 (6 tickers)
[2026-04-07 09:03:57 UTC] RAM 27.8% | CPU 89.5% | GPU 34.0% | Batch 2/27 (6 tickers)
[2026-04-07 09:04:57 UTC] RAM 28.0% | CPU 78.8% | GPU 0.0% | Batch 2/27 (6 tickers)
[2026-04-07 09:05:56 UTC] RAM 28.0% | CPU 95.2% | GPU 0.0% | Batch 2/27 (6 tickers)
[2026-04-07 09:06:56 UTC] RAM 28.0% | CPU 87.4% | GPU 22.0% | Batch 2/27 (6 tickers)
[2026-04-07 09:07:56 UTC] RAM 28.0% | CPU 86.6% | GPU 54.0% | Batch 2/27 (6 tickers)
[2026-04-07 09:08:56 UTC] RAM 28.1% | CPU 88.5% | GPU 14.0% | Batch 2/27 (6 tickers)
[2026-04-07 09:09:55 UTC] RAM 28.3% | CPU 90.4% | GPU 0.0% | Batch 2/27 (6 tickers)
[2026-04-07 09:10:55 UTC] RAM 28.3% | CPU 99.9% | GPU 3.0% | Batch 2/27 (6 tickers)
[2026-04-07 09:11:55 UTC] RAM 28.3% | CPU 96.5% | GPU 1.0% | Batch 2/27 (6 tickers)
[2026-04-07 09:12:54 UTC] RAM 28.4% | CPU 80.7% | GPU 0.0% | Batch 2/27 (6 tickers)
[2026-04-07 09:13:54 UTC] RAM 28.4% | CPU 95.4% | GPU 1.0% | Batch 2/27 (6 tickers)
[2026-04-07 09:14:54 UTC] RAM 28.5% | CPU 99.7% | GPU 0.0% | Batch 2/27 (6 tickers)
[2026-04-07 09:15:53 UTC] RAM 28.6% | CPU 97.2% | GPU 0.0% | Batch 2/27 (6 tickers)
[2026-04-07 09:16:54 UTC] RAM 28.6% | CPU 93.1% | GPU 71.0% | Batch 2/27 (6 tickers)
[2026-04-07 09:17:53 UTC] RAM 28.7% | CPU 93.1% | GPU 53.0% | Batch 2/27 (6 tickers)
[2026-04-07 09:18:53 UTC] RAM 28.8% | CPU 90.5% | GPU 0.0% | Batch 2/27 (6 tickers)
[2026-04-07 09:19:53 UTC] RAM 28.7% | CPU 96.4% | GPU 8.0% | Batch 2/27 (6 tickers)
[2026-04-07 09:20:52 UTC] RAM 28.8% | CPU 77.3% | GPU 59.0% | Batch 2/27 (6 tickers)
[2026-04-07 09:21:52 UTC] RAM 28.7% | CPU 89.2% | GPU 20.0% | Batch 2/27 (6 tickers)
[2026-04-07 09:22:51 UTC] RAM 28.8% | CPU 92.8% | GPU 29.0% | Batch 2/27 (6 tickers)
[2026-04-07 09:23:51 UTC] RAM 28.8% | CPU 86.0% | GPU 1.0% | Batch 2/27 (6 tickers)
[2026-04-07 09:24:51 UTC] RAM 28.8% | CPU 72.2% | GPU 1.0% | Batch 2/27 (6 tickers)
[2026-04-07 09:25:50 UTC] RAM 28.7% | CPU 89.6% | GPU 37.0% | Batch 2/27 (6 tickers)
[2026-04-07 09:26:51 UTC] RAM 28.8% | CPU 87.3% | GPU 1.0% | Batch 2/27 (6 tickers)
[2026-04-07 09:27:50 UTC] RAM 28.8% | CPU 85.3% | GPU 68.0% | Batch 2/27 (6 tickers)
[2026-04-07 09:28:50 UTC] RAM 28.7% | CPU 61.0% | GPU 79.0% | Batch 2/27 (6 tickers)
[2026-04-07 09:29:50 UTC] RAM 28.8% | CPU 97.9% | GPU 8.0% | Batch 2/27 (6 tickers)
[2026-04-07 09:30:49 UTC] RAM 28.7% | CPU 84.8% | GPU 10.0% | Batch 2/27 (6 tickers)
[2026-04-07 09:31:49 UTC] RAM 28.7% | CPU 91.0% | GPU 19.0% | Batch 2/27 (6 tickers)
[2026-04-07 09:32:49 UTC] RAM 28.8% | CPU 94.6% | GPU 4.0% | Batch 2/27 (6 tickers)
[2026-04-07 09:33:49 UTC] RAM 28.8% | CPU 91.8% | GPU 16.0% | Batch 2/27 (6 tickers)
[2026-04-07 09:34:48 UTC] RAM 28.8% | CPU 87.1% | GPU 8.0% | Batch 2/27 (6 tickers)
[2026-04-07 09:35:48 UTC] RAM 28.8% | CPU 94.2% | GPU 33.0% | Batch 2/27 (6 tickers)
[2026-04-07 09:36:49 UTC] RAM 28.9% | CPU 81.6% | GPU 51.0% | Batch 2/27 (6 tickers)
[2026-04-07 09:37:49 UTC] RAM 28.9% | CPU 97.1% | GPU 25.0% | Batch 2/27 (6 tickers)
[2026-04-07 09:38:48 UTC] RAM 29.0% | CPU 99.2% | GPU 1.0% | Batch 2/27 (6 tickers)
[2026-04-07 09:39:48 UTC] RAM 28.9% | CPU 91.6% | GPU 10.0% | Batch 2/27 (6 tickers)
[2026-04-07 09:40:48 UTC] RAM 29.1% | CPU 84.1% | GPU 0.0% | Batch 2/27 (6 tickers)
[2026-04-07 09:41:48 UTC] RAM 29.1% | CPU 95.0% | GPU 8.0% | Batch 2/27 (6 tickers)
[2026-04-07 09:42:48 UTC] RAM 29.0% | CPU 86.9% | GPU 13.0% | Batch 2/27 (6 tickers)
[2026-04-07 09:43:48 UTC] RAM 29.2% | CPU 93.8% | GPU 13.0% | Batch 2/27 (6 tickers)
[2026-04-07 09:44:48 UTC] RAM 29.1% | CPU 96.1% | GPU 3.0% | Batch 2/27 (6 tickers)
[2026-04-07 09:45:49 UTC] RAM 29.2% | CPU 95.5% | GPU 0.0% | Batch 2/27 (6 tickers)
[2026-04-07 09:46:49 UTC] RAM 29.2% | CPU 95.7% | GPU 42.0% | Batch 2/27 (6 tickers)
[2026-04-07 09:47:49 UTC] RAM 29.2% | CPU 92.1% | GPU 10.0% | Batch 2/27 (6 tickers)
