ticker,sector,H,n,alpha,beta,R2,RMSE,MAE,QLIKE,hit_rate
NEE,Utilities,63,2676,0.0129,1.039,0.2614,0.0688,0.0305,0.0409,0.51
NEE,Utilities,126,2676,0.0214,0.9952,0.3227,0.06,0.0308,0.035,0.519
NEM,Materials,21,2676,0.0052,1.0029,0.3548,0.0894,0.0459,0.026,0.46
NEM,Materials,63,2676,0.0076,1.0168,0.2989,0.0826,0.0443,0.0284,0.49
NEM,Materials,126,2676,-0.0559,1.2355,0.3985,0.0679,0.0409,0.0202,0.498
NFLX,Comm,21,2676,0.0482,0.8542,0.4199,0.0877,0.0587,0.03,0.486
NFLX,Comm,63,2676,0.0259,0.9244,0.4163,0.0752,0.0547,0.0241,0.475
NFLX,Comm,126,2676,0.0404,0.878,0.3485,0.0696,0.0544,0.0212,0.482
NKE,Consumer Disc,21,2676,0.0315,0.8932,0.2127,0.0762,0.0359,0.0371,0.493
NKE,Consumer Disc,63,2676,-0.0544,1.3939,0.3629,0.0629,0.0325,0.0311,0.485
NKE,Consumer Disc,126,2676,-0.0471,1.333,0.4212,0.0522,0.0279,0.0219,0.506
NVDA,Tech,21,2676,0.0406,0.9347,0.4619,0.0891,0.0597,0.0293,0.483
NVDA,Tech,63,2676,0.0187,1.0299,0.5373,0.0754,0.053,0.0229,0.472
NVDA,Tech,126,2676,0.0105,1.0432,0.7019,0.0542,0.038,0.0111,0.496
OXY,Energy,21,2676,0.0498,0.8853,0.4821,0.1686,0.0621,0.0424,0.493
OXY,Energy,63,2676,-0.0056,1.1551,0.4391,0.1705,0.066,0.0674,0.46
OXY,Energy,126,2676,0.0291,1.017,0.4988,0.1521,0.0661,0.053,0.494
PEP,Staples,21,2676,0.0119,0.9909,0.1663,0.0676,0.0284,0.0518,0.496
PEP,Staples,63,2676,-0.0357,1.3866,0.2293,0.0589,0.0279,0.0465,0.501
PEP,Staples,126,2676,-0.0649,1.5733,0.4092,0.047,0.0254,0.0324,0.533
PFE,Health Care,21,2676,-0.0057,1.098,0.3892,0.0551,0.0344,0.0326,0.502
PFE,Health Care,63,2676,-0.0338,1.2937,0.4404,0.0477,0.0309,0.0261,0.493
PFE,Health Care,126,2676,-0.038,1.2949,0.5174,0.038,0.0258,0.0169,0.526
PG,Staples,21,2749,0.0005,1.0611,0.368,0.0519,0.0243,0.0329,0.488
PG,Staples,63,2749,-0.0041,1.1055,0.3125,0.0484,0.0247,0.0294,0.501
PG,Staples,126,2749,-0.0337,1.325,0.3987,0.0414,0.022,0.0237,0.492
PLD,REIT,21,2676,0.0141,0.9637,0.34,0.068,0.0328,0.0274,0.494
PLD,REIT,63,2676,-0.0066,1.1143,0.3163,0.0634,0.0294,0.0283,0.491
PLD,REIT,126,2676,-0.0302,1.2377,0.4466,0.0523,0.0245,0.0206,0.497
PM,Staples,21,2676,0.0257,0.8796,0.3242,0.0645,0.0308,0.0277,0.515
PM,Staples,63,2676,0.0014,1.0468,0.3,0.0586,0.03,0.0294,0.492
PM,Staples,126,2676,0.0321,0.8667,0.3234,0.0522,0.03,0.0235,0.501
QCOM,Tech,21,2676,0.0285,0.9378,0.4135,0.0758,0.0442,0.035,0.484
QCOM,Tech,63,2676,0.0151,1.0343,0.4931,0.0641,0.0414,0.026,0.475
QCOM,Tech,126,2676,0.0127,1.0378,0.6236,0.0504,0.0347,0.0173,0.502
RTX,Industrials,21,349,0.1064,0.3275,0.0843,0.0398,0.0345,0.0224,0.5
RTX,Industrials,63,349,0.179,-0.036,0.0024,0.0341,0.0281,0.0152,0.489
RTX,Industrials,126,349,0.1376,0.1842,0.103,0.0225,0.0176,0.0068,0.468
SBUX,Staples,21,2676,0.0172,0.9508,0.2312,0.0787,0.0382,0.0421,0.488
SBUX,Staples,63,2676,-0.0143,1.1391,0.2278,0.0696,0.0352,0.0379,0.496
SBUX,Staples,126,2676,-0.0475,1.3173,0.3981,0.0553,0.0298,0.0257,0.506
SCHW,Financials,21,2676,0.053,0.8283,0.2089,0.0896,0.0468,0.0341,0.496
SCHW,Financials,63,2676,-0.0101,1.1124,0.2359,0.0749,0.0395,0.0271,0.514
SCHW,Financials,126,2676,-0.0504,1.2735,0.3686,0.0598,0.0343,0.0188,0.504
SLB,Energy,21,2676,0.0214,0.9635,0.5343,0.0992,0.0471,0.0262,0.495
SLB,Energy,63,2676,0.0203,1.011,0.4349,0.1038,0.0492,0.0377,0.48
SLB,Energy,126,2676,0.0144,1.027,0.5703,0.0849,0.0452,0.0257,0.489
T,Utilities,21,2676,0.0054,1.0294,0.2003,0.0871,0.0379,0.0465,0.491
T,Utilities,63,2676,-0.0096,1.1491,0.3121,0.0713,0.0345,0.039,0.507
T,Utilities,126,2676,-0.0373,1.3167,0.5347,0.0545,0.0298,0.0265,0.514
TSLA,Consumer Disc,21,2676,0.0399,0.9131,0.3445,0.1314,0.0841,0.0329,0.466
TSLA,Consumer Disc,63,2676,0.0449,0.9286,0.3215,0.1156,0.0777,0.0295,0.463
TSLA,Consumer Disc,126,2676,-0.0799,1.2588,0.4742,0.0937,0.0654,0.0207,0.477
TXN,Tech,21,2676,-0.0013,1.0509,0.3502,0.0576,0.0327,0.0264,0.497
TXN,Tech,63,2676,0.0095,1.0225,0.2532,0.0537,0.0322,0.0255,0.486
TXN,Tech,126,2676,-0.0153,1.1448,0.4064,0.0418,0.0263,0.0155,0.496
UNH,Health Care,21,2676,0.0415,0.8177,0.2476,0.0752,0.0386,0.0358,0.491
UNH,Health Care,63,2676,-0.0046,1.0813,0.2186,0.0669,0.0342,0.0335,0.5
UNH,Health Care,126,2676,-0.0743,1.433,0.4991,0.0501,0.0296,0.0195,0.508
WFC,Financials,21,2676,0.0211,0.9564,0.4605,0.0741,0.0378,0.0385,0.498
WFC,Financials,63,2676,-0.0125,1.1646,0.5011,0.0672,0.035,0.0318,0.495
WFC,Financials,126,2676,-0.0146,1.1654,0.5975,0.0563,0.0285,0.0219,0.486
WMT,Staples,21,2676,0.0126,0.9629,0.2823,0.0541,0.0287,0.0331,0.52
WMT,Staples,63,2676,-0.0199,1.2056,0.3247,0.0459,0.0263,0.0266,0.503
WMT,Staples,126,2676,-0.0164,1.1774,0.3889,0.0384,0.0239,0.0209,0.508
XOM,Energy,21,2990,0.0325,0.8916,0.4367,0.0754,0.0362,0.0361,0.459
XOM,Energy,63,2990,0.0153,1.0257,0.408,0.0723,0.0359,0.0421,0.466
XOM,Energy,126,2990,0.0121,1.0315,0.4576,0.0629,0.0331,0.0333,0.497
