trial,objective,qlike,mz_beta_dev,xgb_max_depth,xgb_lr,xgb_n_est,xgb_reg_alpha,xgb_reg_lambda,xgb_gamma,xgb_colsample,xgb_min_child,xgb_subsample,rf_n_est,rf_min_leaf,rf_max_feat
24,0.022352974474733774,0.019517894470575066,0.37650232430615277,3,0.04092919513878244,200,0.002803432040376948,0.8058088778188292,0.37458466397752205,0.7011332978399174,7,0.8246118215317981,200,11,sqrt
28,0.022381034629497656,0.019597678411405323,0.37305202171361657,2,0.040834961204071575,300,0.0035559509248893973,0.5024956211920125,0.28451947895963026,0.5415315154989724,4,0.7279085636936329,200,13,sqrt
15,0.022384641215713704,0.019673584189390345,0.36817502809963637,4,0.012776480099323265,300,0.0043202185410665525,1.2587197565628485,0.3126726522628792,0.974652473668041,3,0.8088958264937864,200,12,0.3
13,0.022385462239828256,0.019178636622139793,0.4004263738621911,3,0.03422858550734072,200,0.23023179668783425,4.9807334818855225,0.4777789201006478,0.7076033081816501,6,0.6920213386848749,100,9,log2
77,0.022409999467604063,0.019689345740648907,0.3688260922816576,3,0.04162933359066818,250,0.49482862894782004,0.28423640488163937,0.2401071210762833,0.727277678892116,8,0.7150820193314865,200,9,0.3
25,0.022426994443924285,0.01924139071411364,0.39909921885482597,2,0.02354068842096938,150,0.0077642434000885765,0.28896571828106593,0.24179023986129483,0.6690307416527416,5,0.8891102886027458,150,15,sqrt
5,0.022431191393795076,0.019798312767816347,0.3628276881646941,5,0.10079659367870726,50,0.015251273957388432,0.15734685129393672,0.43155171293779676,0.811649063413779,4,0.6254233401144095,100,6,0.3
95,0.022432607337355293,0.019587749460900507,0.377151022566212,3,0.07217858642482995,200,0.2037326186452293,0.21509276219323953,0.18475844879800826,0.7074098674245822,8,0.7555588345367689,100,11,sqrt
39,0.02243685593191766,0.01990501574809248,0.355797708243405,3,0.0631968611898161,200,0.05212724679755106,0.30304245820177755,0.052793866429732605,0.5815739427700248,9,0.8214818693620443,150,14,0.5
16,0.02252109005944699,0.019469563048814573,0.3906102284011785,6,0.018699548119720136,300,0.004965735069980285,0.3821235030835628,0.19169563573829673,0.5667709573924243,1,0.7872100118454736,200,12,sqrt
26,0.022575736864707,0.019813548153393763,0.3716307785499768,4,0.06496206342890375,250,0.026168261399213896,2.8039762170501876,0.43687215148503555,0.5947826850124874,2,0.6548138950577878,100,9,0.5
78,0.0227242127996246,0.01944092535069308,0.40517202821341947,4,0.021217584601300254,200,0.27053038439253024,0.22044299120998692,0.22866929341965903,0.959188314721575,7,0.8571350687752706,150,13,sqrt
3,0.02281054528464012,0.019956020615748235,0.3777912564427534,5,0.02544166090938368,200,0.06378330678120922,0.20609249413202357,0.4847923138822793,0.8875664116805573,10,0.9579309401710595,150,14,0.5
42,0.022827123380754627,0.019673690578402656,0.39707888399863145,3,0.044435130341041726,250,0.09934949475452347,0.3420389856088269,0.19115714587518773,0.5828518185955108,7,0.9296807199293697,150,14,sqrt
7,0.02286928152667099,0.01982035523338672,0.3904437407158852,3,0.03419168411765895,250,0.00569206180746619,0.13514082247401413,0.144875726456884,0.5806106436270022,10,0.9232481518257668,150,14,0.3
8,0.022878853467551415,0.02007313312351503,0.3745477502292855,6,0.146501361250436,100,0.0023082598842919556,0.24392426447067803,0.21355389431312816,0.9090073829612466,9,0.6027808522124762,150,7,0.5
89,0.023015605893481075,0.02000903620567957,0.38772217423056315,3,0.0599087406678563,250,0.057308508769438174,0.36613684010521697,0.36352329737067013,0.5255519067811645,2,0.8319619254961393,150,14,0.5
17,0.02324841117650621,0.019279816602483606,0.44545451922854057,4,0.014612305570990022,100,0.03457336687872484,1.7548688810152495,0.2908085434826585,0.7374008040010074,3,0.85323713841441,200,15,log2
6,0.023256668924423872,0.020158955664537084,0.39355515876982156,2,0.08471354625326555,250,0.07125131189145292,2.0410334065257048,0.24689779818219537,0.7613664146909971,5,0.610167650697638,50,2,0.5
46,0.02325744488653233,0.019444454320824228,0.436634318721519,4,0.15740381232799408,50,0.05674240563399374,0.5758539320519619,0.2682728756877371,0.6846820834196428,10,0.8150019874970643,150,12,log2
64,0.023415282550749147,0.01984915925280263,0.42226314650621094,5,0.11943426224459999,300,0.16347855194140073,0.23356083377801318,0.30458086655170463,0.5411336562358174,6,0.7620461381500245,150,15,sqrt
0,0.023695957530736916,0.01986053357573628,0.4379168845226588,3,0.17254716573280354,250,0.09466503798478172,0.18410729205738682,0.07799726016810132,0.5290418060840998,9,0.8404460046972835,150,2,sqrt
70,0.023703445397907936,0.02043854834510306,0.4040357071352032,2,0.19533171119615264,150,0.18365246513659572,0.11752883134741661,0.14329571878697278,0.8747476405342532,5,0.8118061136768993,150,3,0.5
87,0.023799594973280526,0.019042073842074663,0.4877253905224673,3,0.013655107216089172,50,0.250772764817628,0.6398359243519715,0.25654728096350915,0.560385141841068,4,0.7652878297149389,150,12,log2
2,0.024158243694280896,0.019531824291546974,0.480958387115451,5,0.016666983286066417,50,1.356124683738338,4.370990468130501,0.40419867405823057,0.6523068845866853,1,0.8736932106048627,100,3,0.3
10,0.02454435403326413,0.019064881789348027,0.5234248868708911,2,0.010181283131439643,150,0.44967381336782963,0.6326204136284047,0.3405198344597031,0.6806559982209047,2,0.7500650383587394,50,10,log2
23,0.024671232647748665,0.019247630453345224,0.5207495652616255,2,0.015935224574282626,100,0.009811580810909168,1.0166407204095111,0.3158801208986142,0.8561156315837248,4,0.7657724769815869,100,13,sqrt
