ticker,horizon,rmse,mz_alpha,mz_beta,mz_r2,n,v8_beta,v8_r2,delta_beta_to_1,delta_r2,v8_in_band,v10_in_band
BMY,126,0.028244,0.5475,1.3382,0.5729,2973,0.7723472843505353,0.1842073379457613,0.1105472843505354,0.3886926620542387,True,False
CAT,21,0.063196,-0.0694,0.9331,0.5186,2973,0.7393591632869488,0.231119427127581,-0.1937408367130512,0.28748057287241896,True,True
CAT,63,0.059971,-0.0352,0.9377,0.3987,2973,0.3768692211778846,0.0235683222469512,-0.5608307788221154,0.3751316777530488,False,True
CAT,126,0.057247,-0.0828,0.9024,0.4202,2973,0.3868576500924228,0.0257243931496072,-0.5155423499075772,0.39447560685039285,False,True
COST,21,0.050867,0.2075,1.0909,0.4913,2973,1.1225644120515983,0.4665938679398597,-0.03166441205159831,0.02470613206014033,True,True
COST,63,0.044659,0.5148,1.2431,0.4775,2973,1.099752617931816,0.2181520114551264,0.1433473820681841,0.2593479885448736,True,True
COST,126,0.034003,0.433,1.2071,0.5494,2973,1.0651745476496677,0.1927201772708163,0.14192545235033238,0.3566798227291837,True,True
CRM,21,0.071246,-0.0424,0.9759,0.4334,2973,0.986929252165712,0.4175604260834501,0.011029252165712045,0.015839573916549887,True,True
CRM,63,0.062256,0.0498,1.0429,0.3563,2973,0.9925961058373336,0.307544821191857,0.035496105837333536,0.04875517880814301,True,True
CRM,126,0.062967,-0.0519,0.9659,0.4436,2973,0.8662285557452138,0.3086895269918333,-0.09967144425478613,0.13491047300816672,True,True
CSCO,21,0.062249,-0.1062,0.9383,0.3374,2973,1.0094962578512934,0.3134122801501587,0.0522037421487066,0.02398771984984127,True,True
CSCO,63,0.053627,0.0273,1.0134,0.2658,2973,0.4523640411589533,0.091939433746879,-0.5342359588410466,0.17386056625312096,False,True
CSCO,126,0.038587,0.6137,1.3578,0.5162,2973,0.7335642042431503,0.2424585174436302,0.09136420424315017,0.27374148255636976,True,False
CVS,21,0.067857,-0.0294,0.9554,0.4946,2973,0.7418343429738431,0.162047715436007,-0.21356565702615693,0.332552284563993,True,True
CVS,63,0.059131,0.087,1.0085,0.465,2973,0.392342372741598,0.0400776483122058,-0.599157627258402,0.42492235168779424,False,True
CVS,126,0.042485,0.1753,1.0654,0.6298,2973,0.7968189376764717,0.1732411759569271,-0.13778106232352838,0.4565588240430729,True,True
DE,21,0.060777,-0.0189,0.9675,0.6245,2973,0.942162531374138,0.3652026619418453,-0.02533746862586206,0.25929733805815475,True,True
DE,63,0.057799,0.0819,1.0181,0.561,2973,0.6204646003356187,0.0734895465289712,-0.3614353996643813,0.48751045347102884,False,True
DE,126,0.048167,0.2343,1.105,0.6408,2973,1.611053574229139,0.361882346881281,-0.506053574229139,0.278917653118719,False,True
DIS,21,0.066275,-0.0123,0.9833,0.497,2973,0.8898524650145553,0.3559825605493082,-0.09344753498544467,0.14101743945069178,True,True
DIS,63,0.056168,-0.0073,0.9807,0.5163,2973,0.7985866433291301,0.2807810031085723,-0.18211335667086992,0.2355189968914277,True,True
DIS,126,0.044003,0.222,1.1142,0.6558,2973,1.0244248580651223,0.3524912859268362,0.08977514193487779,0.30330871407316384,True,True
DUK,21,0.054383,0.123,1.0494,0.4144,2973,0.7679514759762419,0.1419675931932446,-0.18264852402375797,0.2724324068067554,True,True
DUK,63,0.049069,0.2545,1.1115,0.3881,2973,0.2215904599034482,0.0096561880906067,-0.6669095400965519,0.3784438119093933,False,True
DUK,126,0.039473,0.3636,1.17,0.4653,2973,0.0875134873147078,0.0026897177431167,-0.7424865126852923,0.4626102822568833,False,True
EQIX,21,0.064289,-0.2762,0.8234,0.3076,2973,0.0052145222920228,0.0014705106849737,-0.8181854777079772,0.30612948931502626,False,True
EQIX,63,0.052631,-0.2152,0.8544,0.2999,2973,0.550229452309027,0.0915805080317062,-0.30417054769097307,0.2083194919682938,False,True
EQIX,126,0.037999,0.1283,1.0774,0.4682,2973,1.0250880375691345,0.2441802104318137,0.052311962430865444,0.2240197895681863,True,True
FCX,21,0.113147,-0.0487,0.9365,0.6723,2973,0.8599634166028087,0.5179750593021493,-0.07653658339719127,0.15432494069785074,True,True
FCX,63,0.105117,-0.0198,0.951,0.6502,2973,0.8386480748492723,0.4723032347507881,-0.11235192515072767,0.17789676524921189,True,True
FCX,126,0.093019,-0.0451,0.9194,0.6401,2973,0.9543458474943276,0.5782156085712886,0.03494584749432761,0.06188439142871138,True,True
