ticker,horizon,ew_alpha,ew_beta,ew_beta_raw,ew_r2,n,beta_capped
F,21,0.03102835328430703,0.9014858497936444,0.901486,0.3843654400770802,2640,False
F,63,0.0668744479568521,0.7805404998661838,0.78054,0.18300112576653327,2640,False
F,126,0.032685599835615364,0.9066138362728202,0.906614,0.21594431702641903,2640,False
FCX,21,0.0375779844062018,0.8599634166028087,0.859963,0.5179750593021493,2640,False
FCX,63,0.04214665125140238,0.8386480748492723,0.838648,0.47230323475078817,2640,False
FCX,126,0.005667618271086916,0.9543458474943276,0.954346,0.5782156085712886,2640,False
FDX,21,-0.006054839880999363,1.0276772478643132,1.027677,0.3857696194940967,2640,False
FDX,63,0.04070402798034908,0.7865301468829686,0.78653,0.28969188612668684,2640,False
FDX,126,0.014582383071369831,0.8999334938515726,0.899933,0.4326596906385394,2640,False
GE,21,0.0985442216059629,0.6320314454465945,0.632031,0.15182598777533596,2953,False
GE,63,0.2337208416285408,0.09290632660314849,0.092906,0.00798861198197387,2953,False
GE,126,0.19673071611608903,0.2414544474922512,0.241454,0.09341608537376167,2953,False
GILD,21,0.19065098632214927,0.008959475281431144,0.008959,0.0027059160059546006,2640,False
GILD,63,0.14286308166061787,0.2651491885526247,0.265149,0.020206464194671758,2640,False
GILD,126,0.12119801517214478,0.36619849220493933,0.366198,0.07013083725631608,2640,False
GM,21,0.050016754150554094,0.8201925936557534,0.820193,0.35253429046355267,2640,False
GM,63,0.1186554763503268,0.5699782790851948,0.569978,0.11560674736369003,2640,False
GM,126,0.14537805470446213,0.4610041700018866,0.461004,0.14796805138387026,2640,False
GOOGL,21,0.06945964981899261,0.7457971117336263,0.745797,0.24460556272804168,2137,False
GOOGL,63,0.13804564557053112,0.45581412837180724,0.455814,0.0786131531672073,2137,False
GOOGL,126,0.10057500765615687,0.6290563610610445,0.629056,0.17977190999314396,2137,False
GS,21,0.035938531257509454,0.8046072278418511,0.804607,0.21614817598239744,2640,False
GS,63,0.1230607703430562,0.41581878644978065,0.415819,0.07840042513447332,2640,False
GS,126,0.028097500245084395,0.8553700563849501,0.85537,0.2121034002715616,2640,False
HD,21,-0.011278134710905191,1.1010976736208666,1.101098,0.3490694017199881,2640,False
HD,63,0.017513508647518328,0.9400690790758013,0.940069,0.14281564123165758,2640,False
HD,126,0.009306038522091109,0.9790625912941562,0.979063,0.14031648366140226,2640,False
HON,21,0.004775403413973367,0.9957358723878088,0.995736,0.31911239977418715,2640,False
HON,63,0.05280007102899223,0.7206082833729354,0.720608,0.1155802274996629,2640,False
HON,126,0.009532389766843508,0.9756592969726894,0.975659,0.14838992625159153,2640,False
IBM,21,0.02829308163758487,0.8587874051766594,0.858787,0.24992433598692354,2640,False
IBM,63,0.07496528923306298,0.5905458188427917,0.590546,0.062460857622418375,2640,False
IBM,126,-0.011953463689183985,1.1141021816692194,1.114102,0.2665142700400268,2640,False
INTC,21,0.12685482630842718,0.5745416123375523,0.574542,0.12662739339809603,2640,False
INTC,63,0.13552625484009695,0.5912065879702789,0.591207,0.1351986705991759,2640,False
INTC,126,0.0038119042447601337,1.1607286828247856,1.160729,0.5481759641532642,2640,False
JNJ,21,0.03080392591126367,0.7827496914906575,0.78275,0.16447828991761182,2640,False
JNJ,63,0.128920278450026,0.12786737847380533,0.127867,0.014654024329458504,2640,False
