ticker,horizon,bucket,n,rmse,qlike,mean_y_true,mean_y_pred,mean_bias
BA,126,top_10,252,0.3191479409881151,0.3040691210942646,0.6105536447845524,0.3726378655237183,-0.23791577926083415
BAC,21,bottom_10,292,0.05450702152816092,0.046140852681644286,0.1283747322796824,0.1718357853438893,0.04346105306420691
BAC,21,middle_80,2254,0.0348987291212971,0.01311059573067269,0.2090000037204205,0.20878819103691196,-0.00021181268350852975
BAC,21,top_10,283,0.18006449361103485,0.1526014318638172,0.3872777883524394,0.27422270820059624,-0.1130550801518432
BAC,63,bottom_10,283,0.04443718332423346,0.03189734773883098,0.13510686351960158,0.17280424630934563,0.03769738278974406
BAC,63,middle_80,2263,0.029212076515614763,0.008888875691527843,0.21414117750757206,0.21451288695653223,0.0003717094489601654
BAC,63,top_10,283,0.16939138308476342,0.15269162260321265,0.37502482312768415,0.25705274021167596,-0.11797208291600818
BAC,126,bottom_10,283,0.04940314962821814,0.03839480768035397,0.13879878816130847,0.18304771443948828,0.04424892627817983
BAC,126,middle_80,2263,0.02447144635194196,0.00603131005184834,0.21804230943463004,0.21586231769141254,-0.002179991743217504
BAC,126,top_10,283,0.13914390520676578,0.11782070931745103,0.3641950585620502,0.2585349321950607,-0.10566012636698952
BKNG,21,bottom_10,104,0.04860297520075386,0.024356307360749077,0.1645687809564971,0.2003656239010071,0.03579684294450999
BKNG,21,middle_80,823,0.05150483947722727,0.017399356206519178,0.24109956062124646,0.24283313181904592,0.0017335711977994144
BKNG,21,top_10,104,0.10956177339762183,0.0563066647237463,0.41773889392531827,0.32678264562676446,-0.09095624829855378
BKNG,63,bottom_10,104,0.06447689307841202,0.028344941201881895,0.18423125307681257,0.22825526665554416,0.04402401357873161
BKNG,63,middle_80,823,0.04138427703008358,0.011774064023185414,0.24819625303681916,0.24633569561654955,-0.0018605574202696113
BKNG,63,top_10,104,0.07644153784031707,0.0276184442605632,0.38442224749324877,0.31473012824165486,-0.06969211925159384
BKNG,126,bottom_10,104,0.02641967634749258,0.007696611913580031,0.1954385874658088,0.22162834035335172,0.026189752887542918
BKNG,126,middle_80,823,0.029603779832989056,0.0065928679657723645,0.25083458610770726,0.2515579733291185,0.0007233872214112393
BKNG,126,top_10,104,0.08519494899233143,0.038287445267000425,0.37173445706995883,0.29057669556198085,-0.08115776150797792
BLK,21,bottom_10,252,0.041398461450507545,0.03629481685771198,0.12165566150331203,0.15606064626159868,0.034404984758286655
BLK,21,middle_80,2012,0.03216281189659466,0.014130416655360797,0.19164924312020706,0.18985109480684578,-0.0017981483133612678
BLK,21,top_10,252,0.193105540534003,0.18294257876997194,0.3772619832913097,0.251970614384216,-0.12529136890709375
BLK,63,bottom_10,252,0.03194333946768252,0.017880249126295454,0.13401156535759612,0.15750134409913005,0.023489778741533938
BLK,63,middle_80,2012,0.03131196466041375,0.012773272833561099,0.1972044770497265,0.19589725981950548,-0.0013072172302210016
BLK,63,top_10,252,0.19136722712247348,0.22643645021952402,0.3678744321235618,0.22585743889124896,-0.14201699323231287
BLK,126,bottom_10,252,0.026417698232419434,0.012317306181475848,0.13993694687746802,0.15977006228774537,0.019833115410277352
BLK,126,middle_80,2012,0.029102154652714568,0.010631076453013975,0.20226034709014445,0.19925585665842846,-0.0030044904317159905
BLK,126,top_10,252,0.14477918115362973,0.14074233800565633,0.3565712903347225,0.23663639647937743,-0.11993489385534507
BMY,21,bottom_10,252,0.035509998890523704,0.021209278383382428,0.14198416852736986,0.17179382448103783,0.02980965595366796
BMY,21,middle_80,2012,0.027910926199672177,0.009648979154910958,0.1968330242964918,0.19427483072543889,-0.002558193571052861
BMY,21,top_10,252,0.14550519179331545,0.13497061904353388,0.3451293818024323,0.23611816112512654,-0.10901122067730573
BMY,63,bottom_10,252,0.026750062811180135,0.011117861506358807,0.15750704178416858,0.18067505802939723,0.02316801624522863
BMY,63,middle_80,2012,0.022170265333215367,0.0058456633681597285,0.2031823980501168,0.19827010376523316,-0.00491229428488362
BMY,63,top_10,252,0.12444812511583611,0.1202572559556923,0.32624091611443695,0.21544770575448943,-0.11079321035994755
BMY,126,bottom_10,252,0.026312575623263276,0.010190488053447718,0.16429100779164,0.18762944501770454,0.02333843722606458
BMY,126,middle_80,2012,0.023392403048987487,0.0059535586550291805,0.20789966018261857,0.2046436270513638,-0.003256033131254735
BMY,126,top_10,252,0.06780462347115397,0.03569133134762544,0.30793866652169993,0.24308742389310525,-0.0648512426285947
C,21,bottom_10,252,0.036613617284557635,0.022179250496293774,0.1383392360989735,0.1668809692817948,0.02854173318282132
C,21,middle_80,2012,0.038681277420167894,0.014948750137948408,0.21558779225714694,0.2112684059503831,-0.004319386306763816
C,21,top_10,252,0.24035602792103003,0.21475320432837408,0.4369111182752234,0.28411483512996905,-0.15279628314525442
C,63,bottom_10,252,0.02364741712102684,0.009001006656127618,0.15287035562714424,0.16974038340455594,0.016870027777411676
C,63,middle_80,2012,0.02957873588778918,0.009779300865575125,0.22210363032805522,0.21427285259410492,-0.007830777733950299
C,63,top_10,252,0.2327647762146146,0.23217112280673394,0.42657088897632806,0.2634473629725218,-0.1631235260038062
C,126,bottom_10,252,0.01166041356679538,0.0023582712368959823,0.1639891326983916,0.1718236548995306,0.007834522201139
C,126,middle_80,2012,0.025319043002249013,0.006629713964452054,0.22574329952232633,0.22240505852789932,-0.0033382409944270096
C,126,top_10,252,0.19151795973843733,0.17455246568202623,0.4284200525519782,0.2828939711311581,-0.14552608142082016
CAT,21,bottom_10,252,0.023403144543985763,0.01230209179628464,0.13411428510592202,0.14980128203251297,0.01568699692659097
CAT,21,middle_80,2012,0.03555863092093484,0.013578756169249785,0.21919982680518765,0.2133297416090924,-0.005870085196095212
CAT,21,top_10,252,0.17238057573148866,0.14382411267097256,0.39119208333727495,0.2839086620076425,-0.1072834213296325
CAT,63,bottom_10,252,0.023475567781422645,0.009998902303408878,0.14873520218901198,0.16333985809825824,0.014604655909246273
CAT,63,middle_80,2012,0.033519906977965884,0.012653386934137355,0.22561657461877524,0.21522528762073428,-0.01039128699804095
CAT,63,top_10,252,0.16917336363191118,0.16895180414261338,0.3759845851234461,0.24007475081804144,-0.13590983430540463
CAT,126,bottom_10,252,0.01772424744338287,0.005416604316409467,0.16141837181672417,0.1736178900320966,0.012199518215372445
CAT,126,middle_80,2012,0.03239336529257727,0.011592106092847403,0.2311591048615974,0.21867449100798042,-0.012484613853616973
CAT,126,top_10,252,0.13847942507490646,0.130426726282803,0.35480040450908806,0.23455596309436097,-0.12024444141472711
CCI,21,bottom_10,252,0.039864943784539406,0.03469505250024005,0.12280483922752583,0.15872041400447123,0.03591557477694538
CCI,21,middle_80,2012,0.031113405583319757,0.013999758925719344,0.19195129863512436,0.18563349006044855,-0.006317808574675828
CCI,21,top_10,252,0.1716231342966216,0.14443533787752025,0.34494459850028525,0.23933163716577407,-0.10561296133451123
CCI,63,bottom_10,252,0.024324659313034715,0.01231210411606357,0.13636169558632968,0.15759774853819888,0.021236052951869144
CCI,63,middle_80,2012,0.023607913028440036,0.007767104171541095,0.1959657395182138,0.18842022141334194,-0.007545518104871889
CCI,63,top_10,252,0.17818911083719502,0.22220507580430443,0.34019420917369625,0.21955399137065484,-0.1206402178030414
CCI,126,bottom_10,252,0.014384188248874847,0.004442334001566071,0.14547225834087668,0.15578818010139261,0.010315921760515944
CCI,126,middle_80,2012,0.020407593087895946,0.0049929977478555135,0.19826232557136292,0.19344001936236713,-0.004822306208995775
CCI,126,top_10,252,0.1391806843690354,0.14693091769160246,0.3392508649231877,0.22080438507375708,-0.11844647984943053
CL,21,bottom_10,283,0.0259531128283685,0.02273012822444258,0.1003912503734422,0.12283903623576065,0.022447785862318468
CL,21,middle_80,2263,0.020877564420366316,0.010839353682368559,0.14555799172392475,0.14021213066186156,-0.005345861062063193
CL,21,top_10,283,0.16995426999486712,0.2381279636823846,0.28512657405265396,0.17934094084638103,-0.10578563320627292
