ticker,regime,mean_bias,n
SO,rate_shock,-0.025289183125467303,251
SPG,covid,-0.13047863431731072,168
SPG,normal,-0.011034228650896588,1908
SPG,post_norm,0.003633248791697979,502
SPG,rate_shock,0.026656978347473673,251
T,covid,-0.06397896773529614,168
T,normal,-0.01086291292558547,1908
T,post_norm,-0.011831451610393246,502
T,rate_shock,-0.03919497248352698,251
TGT,covid,-0.0632718269015202,168
TGT,normal,-0.01297757851343272,1908
TGT,post_norm,0.008229023889358273,502
TGT,rate_shock,-0.03243471735561203,251
TMO,covid,-0.07459628833885777,168
TMO,normal,-0.012044593688022453,1908
TMO,post_norm,0.005240713704757534,502
TMO,rate_shock,-0.01972391085297863,251
TSLA,covid,-0.11591186075504765,168
TSLA,normal,-0.0019416038857215368,1908
TSLA,post_norm,0.003950461245752792,502
TSLA,rate_shock,-0.04230549022549944,251
TXN,covid,-0.09182165359782395,168
TXN,normal,-0.006889556479560595,1908
TXN,post_norm,0.005022788392495849,502
TXN,rate_shock,-0.02369410716384842,251
UNH,covid,-0.0796292877859975,168
UNH,normal,-0.009115346320554798,1908
UNH,post_norm,-0.00392064993848594,502
UNH,rate_shock,-0.025823238091774513,251
UPS,covid,-0.039417303227400634,168
UPS,normal,-0.009813497139125734,1908
UPS,post_norm,0.002681360494102876,502
UPS,rate_shock,-0.024693936431482818,251
USB,covid,-0.11508960978763624,168
USB,normal,-0.0031633242880503357,1908
USB,post_norm,-0.0084285479723051,502
USB,rate_shock,-0.0210433618992874,251
VZ,covid,-0.053175412408254574,168
VZ,normal,-0.005359405735221037,1908
VZ,post_norm,-0.00010931571913973983,502
VZ,rate_shock,-0.04122145207143318,251
WFC,covid,-0.11655963004528458,168
WFC,normal,-0.008559785318367557,1908
WFC,post_norm,0.0006723408822680337,502
WFC,rate_shock,-0.019494472858634652,251
WMT,covid,-0.08124075515972777,168
WMT,normal,-0.01164426226324002,1908
WMT,post_norm,0.005997209287193068,502
WMT,rate_shock,-0.023380159380900687,251
XOM,covid,-0.06411998432382988,168
XOM,normal,-0.01062210951325173,1908
XOM,post_norm,-0.002101240509939967,502
XOM,rate_shock,-0.03164990090167047,251
