ticker,horizon,dm_sq,p_sq,dm_ql,p_ql,model_rmse,naive_rmse,model_qlike,naive_qlike,n
FCX,126,-11.97732479353746,3.4527550226492866e-32,-10.519658271578752,2.340285642440496e-25,0.12704186299696874,0.15575593578567187,0.03993838832329051,0.055371016691525894,2514
FDX,21,-2.49015684432057,0.012830249596707888,-1.0389089882212093,0.2989430048008828,0.07540324162588889,0.08198870227666323,0.03804399271895097,0.03948347769227286,2619
FDX,63,-8.670143363651102,7.497208982670042e-18,-8.24289989612891,2.6446766158279583e-16,0.06808140925062438,0.08324498604211174,0.03562623416619127,0.04769009991536279,2577
FDX,126,-19.737909280467775,9.757753683687698e-81,-20.60112350645942,2.923784580495394e-87,0.05487692185160055,0.07664900622321778,0.023652848789357073,0.04398874016286319,2514
GE,21,-3.4282067146753987,0.0006159645286999866,-1.7380240224118237,0.0823116036985448,0.10042382454313459,0.10792098653333174,0.05827080978051881,0.061487812426431594,2932
GE,63,-5.8008792191362195,7.3121637497151865e-09,-6.416512787186144,1.6237064049562345e-10,0.10213696140962182,0.11149373756474203,0.05817573211516348,0.0695643806848475,2890
GE,126,-4.208790451860299,2.6474740991327997e-05,-15.946183314427216,6.989134453409506e-55,0.09301083992544673,0.10362264450857653,0.03957237447937121,0.06551707629614809,2827
GILD,21,1.0019969872721741,0.31643764924204726,0.6280185235918357,0.530046582533623,2.3117454109133964,0.07996405315296838,0.03891374345010792,0.03746853693238498,2619
GILD,63,-13.241296651563609,9.093285038675739e-39,-12.848598587401732,1.1421401681870745e-36,0.06441421344382174,0.08852894706543674,0.029322233847358305,0.05038223614468575,2577
GILD,126,-15.84944619851951,5.366818994053843e-54,-15.754043942547424,2.1262597892412e-53,0.05430079407709217,0.07822940626134632,0.022877952647375577,0.04327920721702723,2514
GM,21,-4.262489442391057,2.0931483620628594e-05,-4.3003703091852215,1.7675594045208738e-05,0.09794910444027716,0.11183402750118619,0.039585482862305024,0.04552449171861851,2619
GM,63,-9.31434411253659,2.548709565808748e-20,-11.307490724112483,5.734174027066407e-29,0.09873495198879852,0.11642485650883345,0.04934065879100354,0.06683754539042054,2577
GM,126,-14.161955063823408,7.322917466524858e-44,-13.537122000482697,2.367544239588721e-40,0.08027578884145435,0.10952935642770198,0.03373831097197623,0.06291362413232256,2514
GOOGL,21,-4.485114462724077,7.677841175891721e-06,-2.133001810990836,0.0330394057703226,0.06236891130022538,0.06888190688852788,0.035980012557779766,0.03852960805709866,2116
GOOGL,63,-10.654398373668954,7.650619411558856e-26,-7.755607938144614,1.3682393928342555e-14,0.06102285254314005,0.07424912474552334,0.038706925040729936,0.05574063428327287,2074
