ticker,horizon,n,median_delta,p95_delta,seam_median_delta,off_seam_median_delta,seam_ratio,p_mw
GOOGL,63,2136,0.0018589994404742821,0.012273097492376463,0.00192466996392901,0.0018183235599472103,1.0584859627430043,0.5286668437054977
GOOGL,126,2136,0.001280398033195948,0.009393139813242628,0.0013213382534718876,0.001254179131888189,1.0535482690439837,0.24710675924434072
GS,21,2639,0.002317390798548008,0.014942221957305372,0.002499576528369407,0.002264463208628789,1.1038273966407197,0.044332319765732625
GS,63,2639,0.0011964776690968904,0.009655464164965698,0.0011448844420293147,0.0012151042365074471,0.9422108882774008,0.7946778982859253
GS,126,2639,0.0007925519923634994,0.00817906408431761,0.0008208848015085202,0.0007809764666367874,1.0511005601021435,0.01977327325656078
HD,21,2639,0.002444832521711404,0.01918775116160646,0.0024378706393922978,0.0024468630921556517,0.996324905634409,0.1619165402376092
HD,63,2639,0.001323576463495818,0.011911597907276927,0.0013502341052132882,0.001310871828212698,1.030027555824629,0.21338802568891668
HD,126,2639,0.0008097081660025929,0.009680582637334657,0.0008153472009289897,0.0008053663638090125,1.0123929152848803,0.76912315004002
HON,21,2639,0.0029451618686623937,0.019725429693813724,0.0027206443562833027,0.0030258884208276965,0.8991224982245387,0.8606429464142364
HON,63,2639,0.0013144418423559068,0.011166670590098564,0.001272672565537314,0.0013397597775475084,0.9499259396091135,0.4562409826789274
HON,126,2639,0.0008235183644425825,0.006798851070937516,0.000793970761318985,0.000836618614405954,0.9490235426840804,0.7217186661675365
IBM,21,2639,0.0018527906481940193,0.01315249414643523,0.0018661656222273004,0.0018381957799035037,1.0152159213015193,0.35485663362477693
IBM,63,2639,0.0008639369987900047,0.007762258786893808,0.0009096108870107061,0.0008415272143653535,1.080904897052793,0.1280406816191093
IBM,126,2639,0.0005016983016102039,0.006173492519121781,0.0005361818317246025,0.0004926225024465547,1.0884233445725993,0.09938267596794059
INTC,21,2639,0.0026976018312079297,0.017725900466400234,0.0028911390842922824,0.002632534836055009,1.098233932062531,0.1354868619647817
INTC,63,2639,0.0013689976422130157,0.01116968587367981,0.001359799187366978,0.001370142495952048,0.9924509249106364,0.5051041811593886
INTC,126,2639,0.0009333092821676159,0.010168922602997333,0.0009001980542813759,0.000948351661371305,0.9492238912511636,0.6263071837792732
JNJ,21,2639,0.0023816537238920965,0.015281328307202581,0.0023925573965724034,0.002372473584766943,1.008465346857564,0.25049611862685073
JNJ,63,2639,0.0011919163322119952,0.008162410585879987,0.0012076593688606918,0.001189480638194046,1.0152829143097664,0.3657546736285572
JNJ,126,2639,0.0008027460240205009,0.008004589707449874,0.000743644727638687,0.0008285499170798544,0.8975255591836788,0.9715639015468844
JPM,21,2952,0.0024741803902494364,0.01709167996589343,0.00252919565617811,0.002466215229840099,1.0255372789754826,0.26882672176065525
JPM,63,2952,0.0013303294373486763,0.012102511061458286,0.001434585360100854,0.0013130430635417967,1.0925653544303489,0.2527984974074229
JPM,126,2952,0.0008968380137308468,0.00873184019311223,0.0009694839035376546,0.0008786161592409525,1.1034214353344056,0.040488674501308386
KO,21,2952,0.0019561107911750114,0.012578511281987847,0.002055803862484794,0.0018970809376922457,1.0836669230284033,0.13368700863226235
KO,63,2952,0.000741445418922855,0.0060712076604581625,0.0007659140160808375,0.0007340383018882499,1.043425137503847,0.17217085863314413
KO,126,2952,0.00039100319685542173,0.004354034946781296,0.00035825940596555944,0.0003971484778892906,0.9020792623191876,0.7387031824906544
LLY,21,2952,0.003133943763187305,0.016891490986734096,0.0031582344310826654,0.00311836948325403,1.012783907757793,0.3629147514478498
LLY,63,2952,0.001546215876770618,0.009863674285615326,0.0015275714516872901,0.0015549137373883498,0.9824155610413577,0.13202264678116887
LLY,126,2952,0.0009712091345730894,0.01041443642587336,0.0009801485765949108,0.0009712091345730894,1.009204445987579,0.6135476391446281
LMT,21,2952,0.0031863611341861053,0.020381164331105515,0.0035867435144727455,0.0030511502860285505,1.1755381342232525,0.04309535721332714
LMT,63,2952,0.0010744411628201556,0.009145225862377777,0.001069845916836898,0.0010849324453754416,0.9860944996134547,0.41692293385029594
LMT,126,2952,0.0005643657510684408,0.007515439594537898,0.000601649051519354,0.0005462070772031397,1.1015035810229807,0.20934091605778948
LOW,21,2952,0.002934749966922001,0.021193461705626002,0.0030820267385486128,0.0028876233457922063,1.0673229744591475,0.21011035612344237
LOW,63,2952,0.001478106107015445,0.012021061990320199,0.0014276557859035505,0.0015092879949520493,0.9459134311532821,0.7762912117981201
LOW,126,2952,0.0008506379645421419,0.01066781275527408,0.0008253155285509461,0.0008572502107001001,0.9627475365412002,0.6764659678050964
MCD,21,2952,0.0021032160251057974,0.014391773617821306,0.002318136539412506,0.0020396623939874514,1.1365295287327672,0.003237547828366305
MCD,63,2952,0.0011154491044525552,0.009214879990549221,0.0011407314609183927,0.0011056839932879897,1.031697544545419,0.11346606378285756
MCD,126,2952,0.0007216051351276037,0.009137709692520648,0.0007388909854632031,0.0007150660671805947,1.033318485348559,0.4902927134898974
MMM,21,2952,0.002846985198692052,0.01632793936638737,0.0028839903155792115,0.0028158458918914886,1.0242003384787326,0.12005790088259083
