ticker,sector,horizon,alpha,beta,r2,rmse,mae,qlike,hit_rate,n_obs,flag
HON,Industrials,21,0.01231,0.9785,0.2982,0.070218,0.032419,0.002156,0.5006,2676,
HON,Industrials,63,-0.02047,1.224,0.2842,0.064805,0.030846,0.001907,0.495,2676,
HON,Industrials,126,-0.05037,1.397,0.4117,0.054082,0.026711,0.001371,0.5163,2676,
IBM,Tech,21,-0.02811,1.2568,0.3979,0.051467,0.027507,0.001215,0.486,2676,
IBM,Tech,63,-0.03827,1.3571,0.2982,0.049911,0.027779,0.001171,0.5006,2676,
IBM,Tech,126,-0.04407,1.365,0.4865,0.038062,0.021981,0.000695,0.5312,2676,
INTC,Tech,21,-0.00369,1.0685,0.3758,0.06858,0.038085,0.002117,0.4968,2676,
INTC,Tech,63,-0.01268,1.1434,0.4506,0.059783,0.035333,0.001669,0.4744,2676,
INTC,Tech,126,-0.02286,1.1914,0.5567,0.050807,0.032885,0.001235,0.4979,2676,
JNJ,Health Care,21,0.02812,0.8516,0.1992,0.055072,0.028073,0.001417,0.4841,2676,
JNJ,Health Care,63,0.00526,1.0476,0.2562,0.045488,0.025045,0.000987,0.4905,2676,
JNJ,Health Care,126,-0.02837,1.2616,0.4501,0.0337,0.021544,0.000555,0.52,2676,
JPM,Financials,21,-0.00712,1.0823,0.2626,0.077287,0.037171,0.002644,0.4875,2676,
JPM,Financials,63,-0.02175,1.1851,0.2854,0.066687,0.034567,0.002059,0.5013,2676,
JPM,Financials,126,-0.07242,1.4309,0.4031,0.053917,0.030384,0.001379,0.5151,2676,
KO,Staples,21,-0.00599,1.0972,0.3034,0.052789,0.024899,0.001251,0.4871,2676,
KO,Staples,63,-0.03812,1.3653,0.2836,0.049176,0.024282,0.001123,0.4852,2676,
KO,Staples,126,-0.08357,1.7009,0.424,0.041727,0.021995,0.00083,0.5133,2676,
LIN,Materials,21,-0.01528,1.0139,0.9613,0.064084,0.035942,0.002139,0.3297,2030,
LIN,Materials,63,-0.01834,1.0054,0.9515,0.070859,0.039373,0.002692,0.3297,2030,
LIN,Materials,126,-0.02099,1.0062,0.9463,0.072732,0.046407,0.002777,0.3544,2030,
LLY,Health Care,21,0.03744,0.8836,0.3479,0.062918,0.03603,0.00185,0.4725,2676,
LLY,Health Care,63,0.0315,0.9398,0.4296,0.051268,0.033641,0.001261,0.4905,2676,
LLY,Health Care,126,0.01275,1.0351,0.5528,0.041598,0.028778,0.00084,0.5129,2676,
LMT,Industrials,21,-0.03682,1.2803,0.4125,0.057052,0.031012,0.001496,0.4785,2676,
LMT,Industrials,63,-0.03479,1.2849,0.3015,0.053492,0.030316,0.001349,0.4931,2676,
LMT,Industrials,126,-0.06705,1.4837,0.4422,0.043857,0.0267,0.000925,0.505,2676,
LOW,Consumer Disc,21,-0.00435,1.0559,0.3095,0.076017,0.037329,0.002503,0.5204,2676,
LOW,Consumer Disc,63,-0.03843,1.2638,0.2798,0.069534,0.034493,0.002194,0.4987,2676,
LOW,Consumer Disc,126,-0.0775,1.4411,0.5201,0.052263,0.028705,0.00129,0.5174,2676,
MCD,Staples,21,-0.01435,1.1749,0.245,0.066799,0.02793,0.001929,0.4755,2676,
MCD,Staples,63,-0.01567,1.2205,0.2364,0.060766,0.027729,0.001682,0.4957,2676,
MCD,Staples,126,-0.01788,1.2335,0.3153,0.051938,0.025589,0.001268,0.5065,2676,
MMM,Industrials,21,0.01792,0.9412,0.4571,0.050367,0.030768,0.001204,0.4837,2676,
MMM,Industrials,63,0.00819,1.0292,0.514,0.043632,0.025742,0.000907,0.4841,2676,
MMM,Industrials,126,-0.00559,1.1069,0.7138,0.031879,0.020673,0.000495,0.5073,2676,
MO,Staples,21,0.01418,0.9727,0.3517,0.07115,0.037872,0.002334,0.4879,2676,
MO,Staples,63,-0.01774,1.1781,0.4487,0.057237,0.034906,0.001552,0.4815,2676,
MO,Staples,126,-0.00575,1.0946,0.5665,0.043952,0.031343,0.000945,0.5039,2676,
MRK,Health Care,21,0.03266,0.873,0.1566,0.062228,0.033455,0.001786,0.4755,2676,
MRK,Health Care,63,-0.00118,1.0999,0.1944,0.052062,0.031453,0.00129,0.4886,2676,
MRK,Health Care,126,-0.0391,1.2861,0.3226,0.039641,0.026271,0.000764,0.5193,2676,
MS,Financials,21,0.05374,0.7853,0.2351,0.08045,0.043356,0.002885,0.4942,2676,
MS,Financials,63,-0.01555,1.11,0.2577,0.06796,0.035331,0.002104,0.4923,2676,
MS,Financials,126,-0.06424,1.3313,0.4108,0.053591,0.028425,0.001351,0.5062,2676,
MSFT,Tech,21,-0.00619,1.0806,0.3065,0.063194,0.037243,0.001851,0.5047,2676,
MSFT,Tech,63,-0.02687,1.2113,0.2771,0.0565,0.034842,0.00151,0.4721,2676,
MSFT,Tech,126,-0.02803,1.2296,0.3026,0.048573,0.030647,0.001133,0.5099,2676,
MU,Other,21,0.00812,0.9885,0.3122,0.081258,0.053206,0.003059,0.4837,2676,
MU,Other,63,-0.00607,1.0263,0.3277,0.06718,0.046039,0.002148,0.492,2676,
MU,Other,126,-0.03552,1.1116,0.5271,0.046171,0.03405,0.001046,0.5121,2676,
NEE,Utilities,21,-0.01544,1.1741,0.3382,0.072386,0.032254,0.002269,0.4983,2676,
NEE,Utilities,63,0.01289,1.039,0.2614,0.068841,0.030453,0.002133,0.5099,2676,
NEE,Utilities,126,0.0214,0.9952,0.3227,0.06003,0.03076,0.00168,0.5189,2676,
NEM,Materials,21,0.00516,1.0029,0.3548,0.089393,0.045929,0.003427,0.4602,2676,
NEM,Materials,63,0.00755,1.0168,0.2989,0.082624,0.044268,0.003065,0.4905,2676,
NEM,Materials,126,-0.05585,1.2355,0.3985,0.067932,0.040947,0.002174,0.4983,2676,
NFLX,Comm,21,0.04824,0.8542,0.4199,0.087691,0.058671,0.003645,0.4856,2676,
NFLX,Comm,63,0.02595,0.9244,0.4163,0.075171,0.054691,0.002765,0.4751,2676,
NFLX,Comm,126,0.04039,0.878,0.3485,0.069647,0.054402,0.002408,0.4822,2676,
NKE,Consumer Disc,21,0.03154,0.8932,0.2127,0.076246,0.035927,0.002539,0.4927,2676,
NKE,Consumer Disc,63,-0.05443,1.3939,0.3629,0.062886,0.032479,0.001816,0.4849,2676,
NKE,Consumer Disc,126,-0.04712,1.333,0.4212,0.052242,0.027949,0.00129,0.5058,2676,
NOC,Industrials,21,-0.01327,1.1292,0.3949,0.059339,0.034207,0.00163,0.4942,2676,
NOC,Industrials,63,-0.02139,1.1887,0.3683,0.053283,0.031586,0.001343,0.468,2676,
NOC,Industrials,126,-0.03151,1.238,0.4812,0.043704,0.028118,0.000924,0.4979,2676,
NVDA,Tech,21,0.04058,0.9347,0.4619,0.089125,0.0597,0.003746,0.4834,2676,
NVDA,Tech,63,0.01869,1.0299,0.5373,0.075386,0.05302,0.002705,0.4721,2676,
NVDA,Tech,126,0.01046,1.0432,0.7019,0.054211,0.037971,0.00142,0.4964,2676,
ORCL,Tech,21,0.01756,0.9428,0.3208,0.059582,0.033965,0.001631,0.4927,2676,
ORCL,Tech,63,0.01135,1.0116,0.2914,0.051488,0.027541,0.001236,0.4905,2676,
ORCL,Tech,126,-0.01531,1.1527,0.5123,0.037819,0.021403,0.000687,0.489,2676,
OXY,Energy,21,0.04984,0.8853,0.4821,0.168622,0.06207,0.010828,0.4931,2676,
OXY,Energy,63,-0.00558,1.1551,0.4391,0.170462,0.066027,0.011008,0.4602,2676,
OXY,Energy,126,0.02908,1.017,0.4988,0.152065,0.066071,0.009632,0.4938,2676,
PEP,Staples,21,0.01191,0.9909,0.1663,0.067603,0.028447,0.002025,0.4964,2676,
PEP,Staples,63,-0.03574,1.3866,0.2293,0.058888,0.027872,0.00161,0.5006,2676,
PEP,Staples,126,-0.06495,1.5733,0.4092,0.047012,0.025357,0.001055,0.5335,2676,
PFE,Health Care,21,-0.00571,1.098,0.3892,0.055053,0.034396,0.001438,0.5017,2676,
PFE,Health Care,63,-0.03381,1.2937,0.4404,0.047704,0.030941,0.001095,0.4927,2676,
PFE,Health Care,126,-0.03796,1.2949,0.5174,0.038048,0.025815,0.000705,0.5264,2676,
PG,Staples,21,0.00045,1.0611,0.368,0.051901,0.024259,0.00121,0.4876,2749,
PG,Staples,63,-0.00408,1.1055,0.3125,0.048375,0.024676,0.001093,0.5011,2749,
PG,Staples,126,-0.03365,1.325,0.3987,0.041366,0.021998,0.000817,0.4916,2749,
PLD,REIT,21,0.01415,0.9637,0.34,0.067984,0.032779,0.002054,0.4938,2676,
PLD,REIT,63,-0.00662,1.1143,0.3163,0.063369,0.029364,0.001818,0.4908,2676,
PLD,REIT,126,-0.03016,1.2377,0.4466,0.052262,0.024515,0.00128,0.4972,2676,
PM,Staples,21,0.02568,0.8796,0.3242,0.064505,0.030835,0.001906,0.5148,2676,
PM,Staples,63,0.00142,1.0468,0.3,0.058636,0.030032,0.001593,0.4916,2676,
PM,Staples,126,0.03212,0.8667,0.3234,0.052249,0.02998,0.001317,0.5006,2676,
QCOM,Tech,21,0.02852,0.9378,0.4135,0.07577,0.044171,0.002639,0.4837,2676,
QCOM,Tech,63,0.01514,1.0343,0.4931,0.064094,0.041418,0.001946,0.4751,2676,
QCOM,Tech,126,0.0127,1.0378,0.6236,0.050405,0.034691,0.001226,0.5024,2676,
RTX,Industrials,21,0.10642,0.3275,0.0843,0.039774,0.034509,0.000803,0.5,349,merger2020
RTX,Industrials,63,0.17901,-0.036,0.0024,0.034061,0.028075,0.00059,0.4885,349,merger2020
RTX,Industrials,126,0.13756,0.1842,0.103,0.022452,0.017643,0.000255,0.4684,349,merger2020
SBUX,Staples,21,0.01721,0.9508,0.2312,0.07872,0.038224,0.00273,0.4882,2676,
SBUX,Staples,63,-0.01434,1.1391,0.2278,0.069639,0.035183,0.002215,0.4961,2676,
SBUX,Staples,126,-0.04751,1.3173,0.3981,0.055322,0.029792,0.001445,0.5058,2676,
SCHW,Financials,21,0.05301,0.8283,0.2089,0.089587,0.046797,0.003558,0.4961,2676,
SCHW,Financials,63,-0.01013,1.1124,0.2359,0.074922,0.039484,0.002569,0.514,2676,
SCHW,Financials,126,-0.05042,1.2735,0.3686,0.05981,0.034306,0.001688,0.5039,2676,
SLB,Energy,21,0.02143,0.9635,0.5343,0.099249,0.047111,0.00415,0.4953,2676,
SLB,Energy,63,0.02031,1.011,0.4349,0.103791,0.049234,0.004641,0.48,2676,
SLB,Energy,126,0.01439,1.027,0.5703,0.084936,0.045186,0.003289,0.489,2676,
