step,date,w_XGB,w_RF,w_LassoCV,cv_rmse_XGB,cv_rmse_RF,cv_rmse_LassoCV
107,2023-12-08,0.3296055425450657,0.3161149664807393,0.35427949097419503,0.07459306490284429,0.07777641122505763,0.06939799862474146
108,2024-01-17,0.33277087745736694,0.31257155953940424,0.3546575630032288,0.0741130461102028,0.07890245491775584,0.06953936968462716
109,2024-02-22,0.3288370747730177,0.32001994718387616,0.3511429780431062,0.07512179619207011,0.07719153736782998,0.07034978130322357
110,2024-03-28,0.3295979305898144,0.32182927611625717,0.3485727932939285,0.07457172084549457,0.0763718116878763,0.07051234446307102
111,2024-05-03,0.3258694735155674,0.3190785990633064,0.3550519274211263,0.0756530894321578,0.07726319626404071,0.06943500518965635
112,2024-06-10,0.3304524434549918,0.3211205829341438,0.34842697361086444,0.07422821379702764,0.07638530796874446,0.07039895438727443
113,2024-07-17,0.3313068420453144,0.3201152521724579,0.3485779057822277,0.07483204476452347,0.07744825735879435,0.07112432550506165
114,2024-08-21,0.3285455391212546,0.3239028454244951,0.3475516154542503,0.07527263838569707,0.07635156624541913,0.07115630732196516
115,2024-09-26,0.3302641127201035,0.3248701743636679,0.3448657129162286,0.07404441956800821,0.07527380615472762,0.07090938186842448
116,2024-10-31,0.3291635149713318,0.321533024189698,0.3493034608389702,0.07442705263293832,0.0761933251346542,0.07013577877176615
117,2024-12-06,0.3286040029875794,0.3251302598151435,0.34626573719727716,0.07383241763590852,0.07462125487552133,0.0700664991627161
118,2025-01-15,0.33075751709502266,0.32612409917836804,0.3431183837266093,0.07291316370277433,0.07394907966210254,0.07028646127305213
119,2025-02-21,0.32676800460950667,0.32549222705147807,0.34773976833901526,0.07357164930241773,0.07386001581714968,0.06913463235227026
120,2025-03-28,0.32619111016074553,0.3215560549090135,0.3522528349302409,0.07170622925062627,0.07273983545830305,0.06640098305904274
121,2025-05-05,0.32227671115473566,0.32464032632228346,0.35308296252298094,0.07166680452188863,0.07114501861778792,0.06541392395499777
122,2025-06-10,0.32262735768713424,0.32217984189426896,0.3551928004185968,0.07047372338860858,0.07057161313867175,0.06401242124402685
123,2025-07-17,0.3280503240347102,0.3204375908979134,0.3515120850673764,0.06736487401983264,0.068965281784945,0.06286858884674666
124,2025-08-21,0.3267381525926594,0.32227599688616804,0.3509858505211726,0.0673482268456537,0.06828071414736099,0.06269550520986832
125,2025-09-26,0.3307499361864094,0.3190287712716602,0.35022129254193046,0.06564974994353752,0.06806173160473075,0.06199980145947035
